Admin2,Combined Key,Country Region,Last Update,Lat,Long,Province State,Table Name,Active,Case Fatality Ratio,Confirmed,Deaths,Incident Rate,Recovered,Selector
,Guinea,Guinea,2/1/2021,9.9456,-9.6966,,covid_0.csv,256,0.563728860,14546,82,110.760910551,14208,82
,Guinea-Bissau,Guinea-Bissau,2/1/2021,11.8037,-15.1804,,covid_0.csv,162,1.708428246,2634,45,133.841599433,2427,45
,Guyana,Guyana,2/1/2021,4.860416,-58.93018,,covid_0.csv,874,2.303363434,7641,176,971.446515773,6591,176
,Haiti,Haiti,2/1/2021,18.9712,-72.2852,,covid_0.csv,2190,2.124338854,11533,245,101.144193137,9098,245
,Holy See,Holy See,2/1/2021,41.9029,12.4534,,covid_0.csv,12,0,27,0,3337.453646477,15,0
,Honduras,Honduras,2/1/2021,15.2,-86.2419,,covid_0.csv,83360,2.441779455,147843,3610,1492.668866855,60873,3610
,Hungary,Hungary,2/1/2021,47.1625,19.5033,,covid_0.csv,92094,3.407093850,367586,12524,3805.100229288,262968,12524
,Iceland,Iceland,2/1/2021,64.9631,-19.0208,,covid_0.csv,43,0.483172276,6002,29,1758.827838828,5930,29
,"Andaman and Nicobar Islands, India",India,2/1/2021,11.225999,92.968178,Andaman and Nicobar Islands,covid_0.csv,4,1.241489788,4994,62,1197.498537297,4928,62
,"Andhra Pradesh, India",India,2/1/2021,15.9129,79.74,Andhra Pradesh,covid_0.csv,1278,0.805666812,887836,7153,1647.087410620,879405,7153
,"Arunachal Pradesh, India",India,2/1/2021,27.768456,96.384277,Arunachal Pradesh,covid_0.csv,13,0.332778702,16828,56,1071.534545973,16759,56
,"Assam, India",India,2/1/2021,26.357149,92.830441,Assam,covid_0.csv,1881,0.498293735,217141,1082,609.826051529,214178,1082
,"Bihar, India",India,2/1/2021,25.679658,85.60484,Bihar,covid_0.csv,893,0.578279647,259563,1501,207.983296400,257169,1501
,"Chandigarh, India",India,2/1/2021,30.733839,76.768278,Chandigarh,covid_0.csv,165,1.596176822,20925,334,1806.257029728,20426,334
,"Chhattisgarh, India",India,2/1/2021,21.264705,82.035366,Chhattisgarh,covid_0.csv,4327,1.211984268,305367,3701,1037.384847265,297339,3701
,"Dadra and Nagar Haveli and Daman and Diu, India",India,2/1/2021,20.194742,73.080901,Dadra and Nagar Haveli and Daman and Diu,covid_0.csv,6,0.058858152,3398,2,551.870643340,3390,2
,"Delhi, India",India,2/1/2021,28.646519,77.10898,Delhi,covid_0.csv,1361,1.708875509,635096,10853,3394.252832650,622882,10853
,"Goa, India",India,2/1/2021,15.359682,74.057396,Goa,covid_0.csv,750,1.437959894,53409,768,3366.997635934,51891,768
,"Gujarat, India",India,2/1/2021,22.694884,71.590923,Gujarat,covid_0.csv,3450,1.677372486,261540,4387,409.472642479,253703,4387
,"Haryana, India",India,2/1/2021,29.20004,76.332824,Haryana,covid_0.csv,1115,1.126552369,267897,3018,949.831325937,263764,3018
,"Himachal Pradesh, India",India,2/1/2021,31.927213,77.233081,Himachal Pradesh,covid_0.csv,390,1.701543382,57536,979,772.092692455,56167,979
,"Jammu and Kashmir, India",India,2/1/2021,33.75943,76.612638,Jammu and Kashmir,covid_0.csv,748,1.554945143,124506,1936,915.060060325,121822,1936
,"Jharkhand, India",India,2/1/2021,23.654536,85.557631,Jharkhand,covid_0.csv,553,0.903177973,118692,1072,307.540446497,117067,1072
,"Karnataka, India",India,2/1/2021,14.70518,76.166436,Karnataka,covid_0.csv,6048,1.300528962,939387,12217,1390.393212016,921122,12217
,"Kerala, India",India,2/1/2021,10.450898,76.405749,Kerala,covid_0.csv,71229,0.402829167,929178,3743,2602.780105001,854206,3743
,"Ladakh, India",India,2/1/2021,34.1526,77.5771,Ladakh,covid_0.csv,67,1.337448560,9720,130,3543.707549337,9523,130
,"Lakshadweep, India",India,2/1/2021,13.6999972,72.1833326,Lakshadweep,covid_0.csv,38,0,87,0,135.032361204,49,0
,"Madhya Pradesh, India",India,2/1/2021,23.541513,78.289633,Madhya Pradesh,covid_0.csv,2665,1.493461695,255112,3810,298.869603210,248637,3810
,"Maharashtra, India",India,2/1/2021,19.449759,76.108221,Maharashtra,covid_0.csv,46312,2.520826353,2026399,51082,1645.549381557,1929005,51082
,"Manipur, India",India,2/1/2021,24.738975,93.882541,Manipur,covid_0.csv,144,1.276317600,29068,371,940.241853183,28553,371
,"Meghalaya, India",India,2/1/2021,25.536934,91.278882,Meghalaya,covid_0.csv,68,1.060738158,13764,146,408.826421046,13550,146
,"Mizoram, India",India,2/1/2021,23.309381,92.83822,Mizoram,covid_0.csv,33,0.205855444,4372,9,352.795736756,4330,9
,"Nagaland, India",India,2/1/2021,26.06702,94.470302,Nagaland,covid_0.csv,56,0.727633537,12094,88,537.583983607,11950,88
,"Odisha, India",India,2/1/2021,20.505428,84.418059,Odisha,covid_0.csv,1063,0.568832967,335072,1906,722.818159003,332103,1906
,"Puducherry, India",India,2/1/2021,11.882658,78.86498,Puducherry,covid_0.csv,285,1.658646463,39068,648,2763.837225919,38135,648
,"Punjab, India",India,2/1/2021,30.841465,75.40879,Punjab,covid_0.csv,2128,3.240494933,173276,5615,574.877594329,165533,5615
,"Rajasthan, India",India,2/1/2021,26.583423,73.847973,Rajasthan,covid_0.csv,2161,0.871205798,317491,2766,391.806077175,312564,2766
,"Sikkim, India",India,2/1/2021,27.571671,88.472712,Sikkim,covid_0.csv,86,2.200328407,6090,134,882.287747501,5870,134
,"Tamil Nadu, India",India,2/1/2021,11.006091,78.400624,Tamil Nadu,covid_0.csv,4554,1.473865019,838340,12356,1076.986580910,821430,12356
,"Telangana, India",India,2/1/2021,18.1124,79.0193,Telangana,covid_0.csv,2092,0.543472726,294587,1601,748.390635081,290894,1601
,"Tripura, India",India,2/1/2021,23.746783,91.743565,Tripura,covid_0.csv,19,1.172378639,33351,391,799.823684335,32941,391
,"Unknown, India",India,2/1/2021,,,Unknown,covid_0.csv,0,,0,0,,0,0
,"Uttar Pradesh, India",India,2/1/2021,26.925425,80.560982,Uttar Pradesh,covid_0.csv,5525,1.442281263,600299,8658,252.350816983,586116,8658
,"Uttarakhand, India",India,2/1/2021,30.156447,79.197608,Uttarakhand,covid_0.csv,1175,1.710201916,96129,1644,854.414836628,93310,1644
,"West Bengal, India",India,2/1/2021,23.814082,87.979803,West Bengal,covid_0.csv,5553,1.784743104,569998,10173,572.233699898,554272,10173
,Indonesia,Indonesia,2/1/2021,-0.7893,113.9213,,covid_0.csv,175095,2.781935503,1078314,29998,394.230668656,873221,29998
,Iran,Iran,2/1/2021,32.427908,53.688046,,covid_0.csv,149989,4.087379469,1417999,57959,1688.235678534,1210051,57959
,Iraq,Iraq,2/1/2021,33.223191,43.679291,,covid_0.csv,14460,2.105591024,619636,13047,1540.520737857,592129,13047
,Ireland,Ireland,2/1/2021,53.1424,-7.6921,,covid_0.csv,169876,1.682549212,196547,3307,3980.460108113,23364,3307
,Israel,Israel,2/1/2021,31.046051,34.851612,,covid_0.csv,66128,0.745374436,643435,4796,7433.792988792,572511,4796
,"Abruzzo, Italy",Italy,2/1/2021,42.35122196,13.39843823,Abruzzo,covid_0.csv,10487,3.423890211,42846,1467,3266.746976929,30892,1467
,"Basilicata, Italy",Italy,2/1/2021,40.63947052,15.80514834,Basilicata,covid_0.csv,5424,2.463910513,13231,326,2350.635760719,7481,326
,"Calabria, Italy",Italy,2/1/2021,38.90597598,16.59440194,Calabria,covid_0.csv,8909,1.807799188,32747,592,1681.807746885,23246,592
,"Campania, Italy",Italy,2/1/2021,40.83956555,14.25084984,Campania,covid_0.csv,62422,1.690933231,222185,3757,3829.658658198,156006,3757
,"Emilia-Romagna, Italy",Italy,2/1/2021,44.49436681,11.3417208,Emilia-Romagna,covid_0.csv,46868,4.333847090,218651,9476,4903.063744919,162307,9476
,"Friuli Venezia Giulia, Italy",Italy,2/1/2021,45.6494354,13.76813649,Friuli Venezia Giulia,covid_0.csv,11333,3.544881097,67534,2394,5557.347640756,53807,2394
,"Lazio, Italy",Italy,2/1/2021,41.89277044,12.48366722,Lazio,covid_0.csv,63201,2.425917994,205448,4984,3494.559184580,137263,4984
,"Liguria, Italy",Italy,2/1/2021,44.41149315,8.9326992,Liguria,covid_0.csv,4436,4.811391170,69668,3352,4492.854563277,61880,3352
,"Lombardia, Italy",Italy,2/1/2021,45.46679409,9.190347404,Lombardia,covid_0.csv,51077,5.036297472,538054,27098,5348.144151616,459879,27098
